company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Flexituff Ventures International Limited,    33.79,6648720,    64.08
Foods & Inns Limited,    20.58,1188000,    10.17
Fortis Healthcare Limited,    31.17,0,     0.00
Foseco India Limited,    74.98,0,     0.00
Fusion Micro Finance Limited,    58.11,1620000,     2.76
Future Consumer Limited,     3.65,6341902,     8.70
Future Enterprises Limited,    16.37,45750000,    61.44
Future Enterprises Limited,    72.22,0,     0.00
Future Lifestyle Fashions Limited,    20.48,40968074,    99.12
Future Market Networks Limited,    65.31,0,     0.00
Future Retail Limited,    14.31,24162063,    31.14
Future Supply Chain Solutions Limited,    21.95,9632685,   100.00
GACM Technologies Limited,     8.27,0,     0.00
GACM Technologies Limited,     0.16,0,     0.00
GAIL (India) Limited,    52.25,0,     0.00
GB Global Limited,    99.95,4,     0.00
GE Power India Limited,    68.58,0,     0.00
GE T&D India Limited,    75.00,0,     0.00
GFL Limited,    68.72,0,     0.00
GHCL Limited,    19.04,200244,     1.10
GIC Housing Finance Limited,    42.41,0,     0.00
GKW Limited,    75.00,0,     0.00
GM Breweries Limited,    74.43,0,     0.00
GMR Airports Infrastructure Limited,    59.07,2076323947,    58.23
GNA Axles Limited,    68.16,0,     0.00
GOCL Corporation Limited,    72.82,0,     0.00
GP Petroleums Limited,    63.44,0,     0.00
GPT Infraprojects Limited,    75.00,29667720,    68.00
GRP Limited,    40.36,1000,     0.19
GSS Infotech Limited,    21.70,0,     0.00
GTL Infrastructure Limited,     3.28,420144016,   100.00
GTL Limited,    14.29,22000000,    97.86
GTPL Hathway Limited,    75.00,0,     0.00
GVK Power & Infrastructure Limited,    54.25,0,     0.00
Gabriel India Limited,    55.00,0,     0.00
Galaxy Surfactants Limited,    70.91,4000,     0.02
Gallantt Ispat Limited,    68.93,513500,     0.31
Gandhi Special Tubes Limited,    73.53,0,     0.00
Ganesh Housing Corporation Limited,    73.06,0,     0.00
Ganesha Ecosphere Limited,    36.60,0,     0.00
Gangotri Textiles Limited,    24.53,5987593,    74.84
Gayatri Highways Limited,    61.15,133199035,    90.89
Gayatri Projects Limited,     3.94,0,     0.00
GeeCee Ventures Limited,    67.71,0,     0.00
Genesys International Corporation Limited,    37.91,0,     0.00
Gensol Engineering Limited,    62.62,14955552,    63.06
Genus Paper & Boards Limited,    50.51,14000000,    10.78
Genus Power Infrastructures Limited,    42.66,79831609,    61.60
Geojit Financial Services Limited,    54.59,0,     0.00
Ghcl Textiles Limited,    19.15,200244,     1.09
