symbol,market_cap
CGCL,13555.83
CGPOWER,103588.19
CGRAPHICS,442.01
CHALET,17448.02
CHAMBLFERT,18706.46
CHAVDA,371.94
CHEMBOND,874.14
CHEMCON,919.25
CHEMFAB,876.36
CHEMPLASTS,9203.56
CHENNPETRO,14502.48
CHEVIOT,900.12
CHOICEIN,7496.65
CHOLAFIN,121891.34
CHOLAHLDNG,24270.24
CIEINDIA,21699.53
CIGNITITEC,3666.54
CINELINE,442.04
CINEVISTA,106.26
CIPLA,125965.57
CLEAN,14863.59
CLEDUCATE,464.85
CLOUD,93.11
CLSEL,1085.63
CLSL,80.64
CMMIPL,3.21
CMNL,168.94
CMRSL,52.02
CMSINFO,7486.25
COALINDIA,295502.82
COASTCORP,314.76
COCHINSHIP,59377.33
COFFEEDAY,1163.79
COFORGE,35666.11
COLPAL,78578.01
COMMITTED,58.37
COMMOIETF,35.01
COMPINFO,34.82
COMPUSOFT,231.68
COMSYN,289.45
CONCOR,67092.45
CONCORDBIO,16440.44
CONFIPET,2592.82
CONS,1.59
CONSOFINVT,623.87
CONSUMBEES,65.68
CONSUMIETF,55.97
CONTROLPR,1304.25
COOLCAPS,391.88
CORALFINAC,187.16
CORDSCABLE,316.99
COROMANDEL,46262.88
COSMOFIRST,1853.62
COUNCODOS,43.38
CPSEETF,42502.87
CRAFTSMAN,10352.87
CRAYONS,320.03
CREATIVE,1062.76
CREATIVEYE,15.65
CREDITACC,23365.59
CREST,1185.51
CRISIL,29966.15
CROMPTON,27314.6
CROWN,309.32
CSBBANK,6111.91
CSLFINANCE,1053.01
CTE,179.82
CUB,11654.47
CUBEXTUB,134.1
CUMMINSIND,105197.4
CUPID,1382.67
CYBERMEDIA,37.91
CYBERTECH,490.31
CYIENT,20898.79
CYIENTDLM,5710.04
DABUR,105904.47
DALBHARAT,34780.71
DALMIASUG,3500.62
DAMODARIND,113.01
DANGEE,87.09
DATAMATICS,3587.45
DATAPATTNS,16755.72
DAVANGERE,884.39
DBCORP,5579.63
DBL,7679.94
DBOL,1018.39
DBREALTY,10373.42
DBSTOCKBRO,165.73
DCAL,2704.51
DCBBANK,4305
DCG,166.98
DCI,332.8
DCM,139.75
DCMFINSERV,11.44
DCMNVL,387.56
DCMSHRIRAM,16218
