ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,7(2),Nikhil Chopra,Director,Equity Shares,2142,0,Equity Shares,2142,3528537,Pledge Revoke,Equity Shares,2142,0,26-Feb-2024,26-Feb-2024,27-Feb-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,27-Feb-2024 16:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160885_1061111_27022024044049_WEB.xml
COFORGE,Coforge Limited,7(2),Suvrata Acharya,Employees/Designated Employees,Equity Shares,446,0,Equity Shares,400,2682880,Sell,Equity Shares,46,0,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160884_1061106_27022024043702_WEB.xml
UDS,Updater Services Limited,7(2),ANNAKUMAR V,-,Equity Shares,3285,0,Equity Shares,3285,1173829,Sell,Equity Shares,Nil,0,23-Feb-2024,23-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160881_1061091_27022024042827_WEB.xml
LTTS,L&T Technology Services Limited,7(2),ANKOOR BAXI,Employees/Designated Employees,Equity Shares,3726,0,Equity Shares,243,1344087,Sell,Equity Shares,3483,0,13-Feb-2024,23-Feb-2024,23-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160878_1061074_27022024041208_WEB.xml
BIOCON,Biocon Limited,7(2),MANEESH H GHILDYAL,Employees/Designated Employees,Equity Shares,105000,0.01,Equity Shares,5000,1362500,Sell,Equity Shares,100000,0.01,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160876_1061064_27022024040704_WEB.xml
BIOCON,Biocon Limited,7(2),MANEESH H GHILDYAL,Employees/Designated Employees,Equity Shares,100000,0.01,Equity Shares,2000,540900,Sell,Equity Shares,98000,0.01,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160876_1061064_27022024040704_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,359,0,Equity Shares,159,1343550,Sell,Equity Shares,200,0,27-Feb-2024,27-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,302,0,Equity Shares,200,588530,Buy,Equity Shares,502,0,14-Feb-2024,14-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,145,0,Equity Shares,157,461996,Buy,Equity Shares,302,0,14-Feb-2024,14-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,802,0,Equity Shares,57,167731,Buy,Equity Shares,859,0,17-Feb-2024,17-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,502,0,Equity Shares,200,588530,Buy,Equity Shares,702,0,15-Feb-2024,15-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,702,0,Equity Shares,100,294265,Buy,Equity Shares,802,0,17-Feb-2024,17-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),S S SENTHIL MANI,Employees/Designated Employees,Equity Shares,859,0,Equity Shares,500,4224700,Sell,Equity Shares,359,0,27-Feb-2024,27-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160875_1061062_27022024040616_WEB.xml
ASHAPURMIN,Ashapura Minechem Limited,7(2),Ashapura Industrial Finance Limited,Promoter Group,Equity Shares,14798734,16.18,Equity Shares,7000,2901319,Buy,Equity Shares,14805734,16.18,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 16:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160872_1061054_27022024040133_WEB.xml
DAMODARIND,Damodar Industries Limited,7(2),Anil D Biyani,Director,Equity Shares,3075460,13.19,Equity Shares,657,37554,Sell,Equity Shares,3074803,13.19,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160871_1061045_27022024035355_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),Govind Agrawal,Employees/Designated Employees,Equity Shares,400,0,Equity Shares,400,3368800,Sell,Equity Shares,Nil,0,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160869_1061042_27022024035249_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,1100,0,Equity Shares,1000,8449060,Sell,Equity Shares,100,0,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160869_1061042_27022024035249_WEB.xml
BAJAJ-AUTO,Bajaj Auto Limited,7(2),GORAKH VELAPURKAR,Employees/Designated Employees,Equity Shares,150,0,Equity Shares,675,5579638,Buy,Equity Shares,825,0,26-Feb-2024,26-Feb-2024,27-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 15:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160869_1061042_27022024035249_WEB.xml
CONCORDBIO,Concord Biotech Limited,7(2),Raksha Modi,Immediate relative,Equity Shares,20000,0.02,Equity Shares,2000,2984731,Sell,Equity Shares,18000,0.02,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160867_1061031_27022024033622_WEB.xml
CONCORDBIO,Concord Biotech Limited,7(2),Rajendra Modi,-,Equity Shares,22000,0.02,Equity Shares,4000,5998089,Sell,Equity Shares,18000,0.02,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160867_1061031_27022024033622_WEB.xml
BALAXI,BALAXI PHARMACEUTICALS LIMITED,7(2),KUNAL MAHENDRA BHAKTA,Director,Equity Shares,72771,0.7,Equity Shares,67000,22662750,Buy,Equity Shares,139771,1.3,23-Feb-2024,23-Feb-2024,26-Feb-2024,Conversion of security,-,-,-,-,-,-,NA,-,27-Feb-2024 15:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160866_1061029_27022024033534_WEB.xml
BALAXI,BALAXI PHARMACEUTICALS LIMITED,7(2),KUNAL MAHENDRA BHAKTA,Director,Warrants,133000,0,Warrants,67000,22662750,Sell,Warrants,66000,0,23-Feb-2024,23-Feb-2024,26-Feb-2024,Conversion of security,-,-,-,-,-,-,NA,-,27-Feb-2024 15:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160866_1061029_27022024033534_WEB.xml
TIMETECHNO,Time Technoplast Limited,7(2),Time Securities Services Private Limited,Promoters,Equity Shares,41979136,18.5,Equity Shares,121500,26736075,Buy,Equity Shares,42100636,18.55,27-Feb-2024,27-Feb-2024,27-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160864_1061025_27022024033306_WEB.xml
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,Other,Equity Shares,11178196,0.27,Equity Shares,107026,179375576,Sell,Equity Shares,11071170,0.27,22-Feb-2024,22-Feb-2024,26-Feb-2024,Off Market,-,-,-,-,-,-,NA,-,27-Feb-2024 15:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160862_1061021_27022024033051_WEB.xml
STEL,Stel Holdings Limited,7(2),LEBNITZE REAL ESTATES PVT LTD,Promoter Group,Equity Shares,388642,2.1,Equity Shares,2755,851429,Buy,Equity Shares,391397,2.12,22-Feb-2024,22-Feb-2024,27-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160858_1061004_27022024030258_WEB.xml
STEL,Stel Holdings Limited,7(2),LEBNITZE REAL ESTATES PVT LTD,Promoter Group,Equity Shares,391727,2.12,Equity Shares,3826,1237854,Buy,Equity Shares,395553,2.14,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 15:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160858_1061004_27022024030258_WEB.xml
STEL,Stel Holdings Limited,7(2),LEBNITZE REAL ESTATES PVT LTD,Promoter Group,Equity Shares,391397,2.12,Equity Shares,330,102218,Buy,Equity Shares,391727,2.12,22-Feb-2024,22-Feb-2024,27-Feb-2024,Market Purchase,-,-,-,-,-,-,BSE,-,27-Feb-2024 15:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160858_1061004_27022024030258_WEB.xml
STEL,Stel Holdings Limited,7(2),LEBNITZE REAL ESTATES PVT LTD,Promoter Group,Equity Shares,395553,2.14,Equity Shares,1174,379075,Buy,Equity Shares,396727,2.14,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Purchase,-,-,-,-,-,-,BSE,-,27-Feb-2024 15:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160858_1061004_27022024030258_WEB.xml
LTIM,LTIMindtree Limited,7(2),SIVARAMAKRISHNAN SENTHATTY,Employees/Designated Employees,Equity Shares,623,0,Equity Shares,623,3425522,Sell,Equity Shares,Nil,0,02-Feb-2024,02-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160856_1061001_27022024025619_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),RUPALI BHONE,Employees/Designated Employees,Equity Shares,630,0,Equity Shares,100,137200,Sell,Equity Shares,530,0,16-Feb-2024,16-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),RUPALI BHONE,Employees/Designated Employees,Equity Shares,730,0,Equity Shares,100,134200,Sell,Equity Shares,630,0,15-Feb-2024,15-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),RUPALI BHONE,Employees/Designated Employees,Equity Shares,768,0,Equity Shares,38,52136,Sell,Equity Shares,730,0,14-Feb-2024,14-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),RUPALI BHONE,Employees/Designated Employees,Equity Shares,968,0,Equity Shares,200,272798,Sell,Equity Shares,768,0,13-Feb-2024,13-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),Amar Raj Singh,Employees/Designated Employees,Equity Shares,13054,0.02,Equity Shares,700,1050000,Sell,Equity Shares,12354,0.02,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),RUPALI BHONE,Employees/Designated Employees,Equity Shares,530,0,Equity Shares,300,424110,Sell,Equity Shares,230,0,20-Feb-2024,20-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160855_1060998_27022024025058_WEB.xml
RAJMET,Rajnandini Metal Limited,7(2),Het Ram,Promoters,Equity Shares,152530315,55.17,Equity Shares,1700000,23205000,Sell,Equity Shares,150830315,54.55,23-Feb-2024,23-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160853_1060995_27022024024741_WEB.xml
RAJMET,Rajnandini Metal Limited,7(2),Het Ram,Promoters,Equity Shares,150830315,54.55,Equity Shares,640000,8262400,Sell,Equity Shares,150190315,54.32,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 14:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160853_1060995_27022024024741_WEB.xml
RELCHEMQ,Reliance Chemotex Industries Limited,7(2),SHANKER LAL SHROFF,Promoters,Equity Shares,50,0,Equity Shares,173180,0,Buy,Equity Shares,173230,2.3,23-Feb-2024,23-Feb-2024,27-Feb-2024,Others,-,-,-,-,-,-,NA,-,27-Feb-2024 14:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160851_1060988_27022024024448_WEB.xml
THOMASCOOK,Thomas Cook  (India)  Limited,7(3),IDBI Trusteeship Services Limited,-,Equity Shares,5195544,1.1,Equity Shares,3000,413790,Sell,Equity Shares,5192544,1.1,26-Feb-2024,26-Feb-2024,26-Feb-2024,ESOP,-,-,-,-,-,-,NA,-,27-Feb-2024 14:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160848_1060978_27022024022208_WEB.xml
NITCO,Nitco Limited,7(2),ANJALI VIVEK TALWAR,Promoter Group,Equity Shares,543146,0.76,Equity Shares,543146,32952667,Pledge,Equity Shares,543146,0.76,21-Feb-2024,21-Feb-2024,23-Feb-2024,Pledge Creation,-,-,-,-,-,-,NA,-,27-Feb-2024 13:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160846_1060965_27022024014500_WEB.xml
COOLCAPS,Cool Caps Industries Limited,7(2),Purv Flexipack Limited,Promoters,Equity Shares,7136250,61.73,Equity Shares,1500,679354,Buy,Equity Shares,7137750,61.74,19-Feb-2024,22-Feb-2024,26-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 13:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160842_1060959_27022024013300_WEB.xml
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,Director,Equity Shares,197180762,32.22,Equity Shares,650000,675250,Sell,Equity Shares,196530762,32.11,22-Feb-2024,23-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 13:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160840_1060951_27022024011520_WEB.xml
KANANIIND,Kanani Industries Limited,7(2),HARSHIL PREMJIBHAI KANANI,Promoters,Equity Shares,105378976,53.26,Equity Shares,2000000,9700000,Sell,Equity Shares,103378976,52.25,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 12:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160838_1060946_27022024125700_WEB.xml
TIRUMALCHM,Thirumalai Chemicals Limited,7(2),Narayan Santhanam,Promoter Group,Equity Shares,191000,0.19,Equity Shares,5000,13200000,Sell,Equity Shares,186000,0.18,26-Feb-2024,26-Feb-2024,27-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 11:58,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160835_1060913_27022024115834_WEB.xml
STEL,Stel Holdings Limited,7(2),CASTOR INVESTMENTS LIMITED,Promoter Group,Equity Shares,1046172,5.67,Equity Shares,2816,945766,Buy,Equity Shares,1048988,5.68,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,27-Feb-2024 11:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160833_1060906_27022024114544_WEB.xml
STEL,Stel Holdings Limited,7(2),CASTOR INVESTMENTS LIMITED,Promoter Group,Equity Shares,1048988,5.68,Equity Shares,1568,527636,Buy,Equity Shares,1050556,5.69,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Purchase,-,-,-,-,-,-,BSE,-,27-Feb-2024 11:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160833_1060906_27022024114544_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,828589,1.69,Equity Shares,6630,16202028,Sell,Equity Shares,821959,1.68,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,27-Feb-2024 10:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160830_1060892_27022024105626_WEB.xml
BAJAJELEC,Bajaj Electricals Limited,7(2),PRADEEP KUMAR VEERA MURAMALLA,Employees/Designated Employees,Equity Shares,1000,0,Equity Shares,1000,1000200,Sell,Equity Shares,Nil,0,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,BSE,-,27-Feb-2024 09:59,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160828_1060885_27022024095933_WEB.xml
BAJAJELEC,Bajaj Electricals Limited,7(2),PRADEEP KUMAR VEERA MURAMALLA,Employees/Designated Employees,Equity Shares,1875,0,Equity Shares,875,905625,Sell,Equity Shares,1000,0,21-Feb-2024,21-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,BSE,-,27-Feb-2024 09:59,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160828_1060885_27022024095933_WEB.xml
FUSION,Fusion Micro Finance Limited,7(2),Sandeep Kumar Sharma,-,Equity Shares,2250,0,Equity Shares,1000,561000,Sell,Equity Shares,1250,0,23-Feb-2024,23-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,BSE,-,27-Feb-2024 09:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160826_1060881_27022024092848_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Pawan Mundhra,Employees/Designated Employees,Equity Shares,139900,0.04,Equity Shares,1640,1162744,Sell,Equity Shares,138260,0.04,22-Feb-2024,22-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 23:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160824_1060875_26022024110856_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Pawan Mundhra,Employees/Designated Employees,Equity Shares,138260,0.04,Equity Shares,2000,1430000,Sell,Equity Shares,136260,0.04,23-Feb-2024,23-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 23:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160824_1060875_26022024110856_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Prabhakar V,Employees/Designated Employees,Equity Shares,4446,0,Equity Shares,650,1201753,Pledge Revoke,Equity Shares,4446,0,19-Feb-2024,19-Feb-2024,26-Feb-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,26-Feb-2024 22:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160822_1060867_26022024103413_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),BHUWAN LODHA,Employees/Designated Employees,Equity Shares,4000,0,Equity Shares,1000,1850000,Sell,Equity Shares,3000,0,20-Feb-2024,20-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,BSE,-,26-Feb-2024 22:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160822_1060867_26022024103413_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),BHUWAN LODHA,Employees/Designated Employees,Equity Shares,5000,0,Equity Shares,1000,1848000,Sell,Equity Shares,4000,0,19-Feb-2024,19-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,BSE,-,26-Feb-2024 22:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160822_1060867_26022024103413_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,9636056,0.39,Equity Shares,444,362280,Sell,Equity Shares,9635612,0.39,20-Feb-2024,20-Feb-2024,22-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160820_1060860_26022024100633_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,9635612,0.39,Equity Shares,687,560335,Sell,Equity Shares,9634925,0.39,20-Feb-2024,20-Feb-2024,22-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160820_1060860_26022024100633_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,9634925,0.39,Equity Shares,9765,9765,Sell,Equity Shares,9625160,0.39,20-Feb-2024,20-Feb-2024,22-Feb-2024,Off Market,-,-,-,-,-,-,NA,-,26-Feb-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160820_1060860_26022024100633_WEB.xml
IDEAFORGE,Ideaforge Technology Limited,7(2),Mr. Vipul Joshi,Key Managerial Personnel,Equity Shares,1913090,4.59,Equity Shares,54000,41153280,Sell,Equity Shares,1859090,4.46,26-Feb-2024,26-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 20:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160818_1060845_26022024081230_WEB.xml
IDEAFORGE,Ideaforge Technology Limited,7(2),Mr. Ezhilan Nanmaran,-,Equity Shares,7232,0.02,Equity Shares,7232,5524669,Sell,Equity Shares,Nil,0,23-Feb-2024,23-Feb-2024,23-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 20:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160818_1060845_26022024081230_WEB.xml
IDEAFORGE,Ideaforge Technology Limited,7(2),Mr. Ganapathy Subramaniam,Director,Equity Shares,1049374,2.45,Equity Shares,30000,23200000,Sell,Equity Shares,1019374,2.38,23-Feb-2024,23-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 20:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160818_1060845_26022024081230_WEB.xml
IDEAFORGE,Ideaforge Technology Limited,7(2),Mr. Ganapathy Subramaniam,Director,Equity Shares,1056030,2.46,Equity Shares,6656,4922000,Sell,Equity Shares,1049374,2.45,21-Feb-2024,21-Feb-2024,23-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 20:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160818_1060845_26022024081230_WEB.xml
DBREALTY,D B Realty Limited,7(2),Shravan Kumar Bali,Promoter Group,Equity Shares,1401209,0.28,Equity Shares,100000,27536041,Sell,Equity Shares,1301209,0.26,23-Feb-2024,23-Feb-2024,26-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 19:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160816_1060837_26022024075147_WEB.xml
ATFL,Agro Tech Foods Limited,7(2),AGRO TECH ESOP TRUST,Other,Equity Shares,94560,0.39,Equity Shares,1830,1663086,Sell,Equity Shares,92730,0.38,20-Feb-2024,20-Feb-2024,22-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 19:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160814_1060826_26022024074009_WEB.xml
HFCL,HFCL Limited,7(2),HFCL Employees Trust,Other,Equity Shares,1075600,0.07,Equity Shares,50000,1032500,Sell,Equity Shares,1025600,0.07,23-Feb-2024,23-Feb-2024,26-Feb-2024,Off Market,-,-,-,-,-,-,NA,-,26-Feb-2024 19:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160808_1060816_26022024073249_WEB.xml
EUROBOND,Euro Panel Products Limited,7(2),SURESH GADA,Other,Equity Shares,675000,2.75,Equity Shares,1000,179175,Sell,Equity Shares,674000,2.75,08-Feb-2024,08-Feb-2024,10-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 19:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160807_1060814_26022024073237_WEB.xml
EUROBOND,Euro Panel Products Limited,7(2),SURESH GADA,Other,Equity Shares,676000,2.75,Equity Shares,1000,184152,Sell,Equity Shares,675000,2.75,06-Feb-2024,06-Feb-2024,08-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 19:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160807_1060814_26022024073237_WEB.xml
EUROBOND,Euro Panel Products Limited,7(2),SURESH GADA,Other,Equity Shares,674000,2.75,Equity Shares,13000,2232746,Sell,Equity Shares,661000,2.69,20-Feb-2024,20-Feb-2024,22-Feb-2024,Market Sale,-,-,-,-,-,-,NSE,-,26-Feb-2024 19:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1160807_1060814_26022024073237_WEB.xml
